task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
subject_1-20231025_170231-G10_1,540,1.3742,9.8633,3.4017,3.2163,310,1
subject_1-20231025_170231-G10_2,250,14.9565,85.1846,4.3214,4.3998,290,0
subject_1-20231025_170231-G10_3,830,15.1507,66.4416,5.7283,5.8684,246,0
subject_1-20231025_170231-G10_4,0,6.5335,37.8069,3.7821,3.6247,250,0
subject_2-20231022_201556-G05_1,380,1.2826,5.4051,3.3472,3.2545,500,1
subject_2-20231022_201556-G05_2,0,2.8933,17.5324,3.2149,3.1905,380,1
subject_2-20231022_203100-G09_2,680,2.2762,2.2501,5.6957,5.7399,600,1
subject_2-20231022_203100-G09_4,0,8.4502,26.4768,4.5442,4.3420,630,0
subject_2-20231023_164242-G19_1,30,1.3781,6.0320,3.4132,3.4681,480,1
subject_2-20231023_164242-G19_2,950,11.1650,16.5378,2.0034,1.8976,570,0
subject_2-20231023_164242-G19_4,510,16.9878,93.4518,5.1930,5.0724,450,0
subject_2-20231023_164741-G22_2,1080,16.2343,95.8342,3.1290,2.9867,500,0
subject_2-20231023_164741-G22_3,0,13.4055,70.4601,3.9262,3.7271,550,0
subject_2-20231023_164741-G22_4,550,2.7017,9.2331,2.8969,2.6608,500,1
subject_3-20231024_154810-G09_1,1100,2.5353,3.8338,3.9680,3.7842,130,1
subject_3-20231024_154810-G09_2,600,5.1220,3.2430,5.8185,5.7700,400,0
subject_3-20231024_154810-G09_4,0,1.1912,3.3432,4.9903,5.0505,500,1
subject_4-20231026_162248-G11_1,344,17.7827,33.2958,3.4135,3.3166,430,0
subject_4-20231026_162248-G11_2,0,1.0429,2.4766,2.3071,2.1338,350,1
subject_4-20231026_164958-G21_1,0,16.9377,62.3471,3.4477,3.4369,360,0
subject_4-20231026_164958-G21_3,750,27.6012,123.6722,4.1309,4.1310,500,0
subject_4-20231026_164958-G21_4,350,16.9273,69.3226,5.2477,5.1207,420,0
subject_6-20231025_111357-G06_1,1850,18.4217,81.7775,3.2665,3.1023,510,0
subject_6-20231025_111357-G06_2,0,0.8520,2.4296,2.9023,2.5349,500,1
subject_6-20231025_111357-G06_3,550,3.5236,3.0699,4.0238,3.8829,560,0
subject_6-20231025_111357-G06_4,1150,15.0612,41.3093,5.2552,5.2516,660,0
subject_6-20231025_112332-G09_1,0,5.8012,19.3624,4.4095,4.3027,400,0
subject_6-20231025_112332-G09_2,1050,15.9431,38.9334,5.0978,5.1979,600,0
subject_6-20231025_112332-G09_3,450,11.0066,20.1555,5.8150,5.6499,600,0
subject_6-20231025_112332-G09_4,1720,1.4978,2.9356,4.7161,4.7726,536,1
subject_9-20231027_125019-G16_1,1030,1.0315,3.2085,2.5318,2.3796,386,1
subject_9-20231027_125019-G16_2,0,3.6402,10.1333,3.4920,3.2634,320,0
subject_9-20231027_125019-G16_3,730,5.5835,40.1910,4.2280,4.1385,270,0
subject_9-20231027_125019-G16_4,370,13.1346,95.7449,3.9551,3.7989,330,0
MEAN,,8.8067,35.3910,4.0475,3.9549,15018,
STD,,7.0885,35.0129,1.0249,1.0829,,
SR,,35.3%,55.9%,100.0%,100.0%,34,35.3%
